Months,Rainfall,Temp,year,Confirmed uncomplicated Malaria,Population,Persons with fever,x,y
Jan,0,29,2022,23650,3551023,35977,4.3874,8.9669
Feb,0,30,2022,23290,3551023,33483,4.3874,8.9669
Mar,4,31,2022,20741,3551023,30787,4.3874,8.9669
Apr,40.37,29,2022,23337,3551023,33143,4.3874,8.9669
May,54.36,27,2022,25406,3551023,38165,4.3874,8.9669
Jun,110.8,25,2022,30692,3551023,43667,4.3874,8.9669
Jul,72.3,24,2022,27332,3551023,40740,4.3874,8.9669
Aug,181.99,23,2022,26348,3551023,36743,4.3874,8.9669
Sep,170.9,24,2022,20160,3551023,29799,4.3874,8.9669
Oct,66.2,26,2022,23485,3551023,33379,4.3874,8.9669
Nov,0.1,28,2022,24438,3551023,37387,4.3874,8.9669
Dec,0,28,2022,23249,3551023,33985,4.3874,8.9669
Jan,0.2,29,2023,20257,3625127,30002,4.3874,8.9669
Feb,0.18,30,2023,18727,3625127,27359,4.3874,8.9669
Mar,20.86,29,2023,17869,3625127,26303,4.3874,8.9669
Apr,184.05,29,2023,20284,3625127,29594,4.3874,8.9669
May,132.15,28,2023,24767,3625127,35198,4.3874,8.9669
Jun,266.7,25,2023,29681,3625127,39731,4.3874,8.9669
Jul,125.05,25,2023,27629,3625127,38187,4.3874,8.9669
Aug,277.15,24,2023,28878,3625127,39500,4.3874,8.9669
Sep,428.54,24,2023,23843,3625127,32647,4.3874,8.9669
Oct,114.29,26,2023,23347,3625127,33871,4.3874,8.9669
Nov,24.93,28,2023,23852,3625127,34520,4.3874,8.9669
Dec,0,28,2023,21960,3625127,32408,4.3874,8.9669
Jan,0,29,2024,20121,3699231,31246,4.3874,8.9669
Feb,4.57,31,2024,21465,3699231,31424,4.3874,8.9669
Mar,26.93,31,2024,18637,3699231,28852,4.3874,8.9669
Apr,80.74,30,2024,19390,3699231,27878,4.3874,8.9669
