,GID_1,NAME_1,prev_mpm
0,NGA.1_1,Abia,8.2
1,NGA.2_1,Adamawa,34.7
2,NGA.3_1,Akwa Ibom,22.8
3,NGA.4_1,Anambra,10.2
4,NGA.5_1,Bauchi,19.6
5,NGA.6_1,Bayelsa,31.4
6,NGA.7_1,Benue,44.5
7,NGA.8_1,Borno,0
8,NGA.9_1,Cross River,26.1
9,NGA.10_1,Delta,20.4
10,NGA.11_1,Ebonyi,30
11,NGA.12_1,Edo,18.6
12,NGA.13_1,Ekiti,28.8
13,NGA.14_1,Enugu,10.5
14,NGA.15_1,Federal Capital Territory,20.2
15,NGA.16_1,Gombe,28.6
16,NGA.17_1,Imo,5.1
17,NGA.18_1,Jigawa,27.9
18,NGA.19_1,Kaduna,36.7
19,NGA.20_1,Kano,27.7
20,NGA.21_1,Katsina,27.8
21,NGA.22_1,Kebbi,63.6
22,NGA.23_1,Kogi,5.4
23,NGA.24_1,Kwara,26.4
24,NGA.25_1,Lagos,0
25,NGA.26_1,Nasarawa,35.9
26,NGA.27_1,Niger,33.5
27,NGA.28_1,Ogun,14.7
28,NGA.29_1,Ondo,21.3
29,NGA.30_1,Osun,33.4
30,NGA.31_1,Oyo,19.2
31,NGA.32_1,Plateau,35.8
32,NGA.33_1,Rivers,7.3
33,NGA.34_1,Sokoto,46.6
34,NGA.35_1,Taraba,42.7
35,NGA.36_1,Yobe,18.9
36,NGA.37_1,Zamfara,62.6
